Center,Sum of FARMS
A. Mario Loiederman MS,534
Albert Einstein HS,738
Alternative Programs,21
Arcola ES,541
Argyle MS,504
Ashburton ES,0
Bannockburn ES,0
Beall ES,205
Bel Pre ES,408
Bells Mill ES,0
Belmont ES,0
Benjamin Banneker MS,426
Bethesda ES,0
Bethesda-Chevy Chase HS,225
Beverly Farms ES,0
Bradley Hills ES,0
Briggs Chaney MS,405
Brooke Grove ES,0
Brookhaven ES,318
Brown Station ES,324
Burning Tree ES,0
Burnt Mills ES,372
Burtonsville ES,270
Cabin John MS,77
Candlewood ES,0
Cannon Road ES,272
Capt. James E. Daly ES,471
Carderock Springs ES,0
Carl Sandburg Learning Center,0
Cashell ES,26
Cedar Grove ES,0
Chevy Chase ES,110
Clarksburg ES,0
Clarksburg HS,572
Clearspring ES,173
Clopper Mill ES,342
Cloverly ES,0
Col. E. Brooke Lee MS,472
Col. Zadok Magruder HS,518
Cold Spring ES,0
College Gardens ES,48
Cresthaven ES,413
Damascus ES,21
Damascus HS,186
Darnestown ES,0
Diamond ES,0
Dr. Charles R. Drew ES,254
"Dr. Martin Luther King, Jr.  MS",284
Dr. Sally K. Ride ES,249
DuFief ES,0
Earle B. Wood MS,377
East Silver Spring ES,306
Eastern MS,424
Fairland ES,396
Fallsmead ES,0
Farmland ES,0
Fields Road ES,171
Flora M. Singer ES,266
Flower Hill ES,329
Flower Valley ES,73
Forest Knolls ES,244
Forest Oak MS,452
Fox Chapel ES,356
Francis Scott Key MS,686
Gaithersburg ES,690
Gaithersburg HS,1007
Gaithersburg MS,378
Galway ES,465
Garrett Park ES,100
Georgian Forest ES,592
Germantown ES,92
Glen Haven ES,308
Glenallan ES,440
Goshen ES,254
Great Seneca Creek ES,244
Greencastle ES,483
Greenwood ES,0
Hallie Wells MS,84
Harmony Hills ES,648
Herbert Hoover MS,0
Highland ES,468
Highland View ES,159
Jackson Road ES,537
James Hubert Blake HS,558
JoAnn Leleck ES,791
John F. Kennedy HS,814
John Poole MS,0
John T. Baker MS,161
Jones Lane ES,49
Judith A. Resnik ES,338
Julius West MS,325
Kemp Mill ES,427
Kensington Parkwood ES,0
Kingsview MS,202
Lake Seneca ES,306
Lakelands Park MS,249
Lakewood ES,0
Laytonsville ES,0
Little Bennett ES,48
Lois P. Rockwell ES,0
Longview School,0
Lucy V. Barnsley ES,221
Luxmanor ES,0
Maryvale ES,282
Meadow Hall ES,251
Mill Creek Towne ES,148
Monocacy ES,0
Montgomery Blair HS,1062
Montgomery Knolls ES,323
Montgomery Village MS,498
Neelsville MS,548
New Hampshire Estates ES,406
Newport Mill MS,274
North Bethesda MS,53
North Chevy Chase ES,0
Northwest HS,579
Northwood HS,822
Oak View ES,325
Oakland Terrace ES,125
Olney ES,101
Paint Branch HS,681
Parkland MS,488
Pine Crest ES,237
Piney Branch ES,196
Poolesville ES,0
Poolesville HS,44
Potomac ES,0
Quince Orchard HS,449
Rachel Carson ES,214
Redland MS,228
RICA,0
Richard Montgomery HS,473
Ridgeview MS,216
Ritchie Park ES,48
Robert Frost MS,67
Roberto W. Clemente MS,413
Rock Creek Forest ES,143
Rock Creek Valley ES,80
Rock Terrace School,0
Rock View ES,324
Rockville HS,517
Rocky Hill MS,213
Rolling Terrace ES,650
Ronald McNair ES,234
Rosa M. Parks MS,88
Roscoe R. Nix ES,381
Rosemary Hills ES,173
Rosemont ES,368
S. Christa McAuliffe ES,269
Sargent Shriver ES,637
Seneca Valley HS,442
Sequoyah ES,222
Seven Locks ES,0
Shady Grove MS,267
Sherwood ES,0
Sherwood HS,331
Silver Spring International MS,425
Sligo Creek ES,0
Sligo MS,306
Somerset ES,0
South Lake ES,700
Spark M. Matsunaga ES,174
Springbrook HS,848
Stedwick ES,361
Stephen Knolls School,21
Stone Mill ES,0
Stonegate ES,70
Strathmore ES,287
Strawberry Knoll ES,301
Summit Hall ES,525
Takoma Park ES,221
Takoma Park MS,293
Thomas S. Wootton HS,111
Thomas W. Pyle MS,0
Thurgood Marshall ES,206
Tilden MS,108
Travilah ES,0
Twinbrook ES,387
Viers Mill ES,416
Walt Whitman HS,0
Walter Johnson HS,164
Washington Grove ES,338
Waters Landing ES,351
Watkins Mill ES,692
Watkins Mill HS,846
Wayside ES,0
Weller Road ES,531
Westbrook ES,0
Westland MS,146
Westover ES,0
Wheaton HS,871
Wheaton Woods ES,425
Whetstone ES,493
White Oak MS,465
"William B. Gibbs, Jr. ES",238
William H. Farquhar MS,92
William Tyler Page ES,211
Wilson Wims ES,25
Winston Churchill HS,46
Wood Acres ES,0
Woodfield ES,0
Woodlin ES,137
Wyngate ES,0
Grand Total,52018
